UF;Ano;Idade;Mulheres;Filhos tidos no ultimo ano
Paraná;2011;55 a 59 anos;264553;0
Paraná;2018;10 a 14 anos;405402;830,0106144
Paraná;2018;15 a 19 anos;434721;20481,26192
Paraná;2018;20 a 24 anos;452669;37788,48325
Paraná;2018;25 a 29 anos;453845;39343,50313
Paraná;2018;30 a 34 anos;455474;33789,43211
Paraná;2018;35 a 39 anos;447446;19513,24954
Paraná;2018;40 a 44 anos;411331;4389,056128
Paraná;2018;45 a 49 anos;393193;239,0030564
Paraná;2018;50 a 54 anos;378714;19,00024298
Paraná;2018;55 a 59 anos;335298;1,000012788
Santa Catarina;2011;10 a 14 anos;255893;560
Santa Catarina;2011;15 a 19 anos;275829;13445
Santa Catarina;2011;20 a 24 anos;280313;22004
Santa Catarina;2011;25 a 29 anos;284272;22774
Santa Catarina;2011;30 a 34 anos;255408;17078
Santa Catarina;2011;35 a 39 anos;234926;8301
Santa Catarina;2011;40 a 44 anos;231068;1945
Santa Catarina;2011;45 a 49 anos;226459;124
Santa Catarina;2011;50 a 54 anos;192454;3
Santa Catarina;2011;55 a 59 anos;156681;0
Santa Catarina;2018;10 a 14 anos;238764;334
Santa Catarina;2018;15 a 19 anos;261834;10719
Santa Catarina;2018;20 a 24 anos;288401;22734
Santa Catarina;2018;25 a 29 anos;295392;25062
Santa Catarina;2018;30 a 34 anos;294312;22693
Santa Catarina;2018;35 a 39 anos;278054;13381
Santa Catarina;2018;40 a 44 anos;244834;2894
Santa Catarina;2018;45 a 49 anos;233721;132
Santa Catarina;2018;50 a 54 anos;229484;7
Santa Catarina;2018;55 a 59 anos;206986;1
Rio Grande do Sul;2011;10 a 14 anos;419749;892,0588684
Rio Grande do Sul;2011;15 a 19 anos;434875;21220,40037
Rio Grande do Sul;2011;20 a 24 anos;433507;32504,145
Rio Grande do Sul;2011;25 a 29 anos;460107;34577,28181
Rio Grande do Sul;2011;30 a 34 anos;423535;27789,8339
Rio Grande do Sul;2011;35 a 39 anos;382910;15060,9939
Rio Grande do Sul;2011;40 a 44 anos;386406;4049,267218
Rio Grande do Sul;2011;45 a 49 anos;403985;279,0184129
Rio Grande do Sul;2011;50 a 54 anos;371156;8,000527968
Rio Grande do Sul;2011;55 a 59 anos;317284;0
Rio Grande do Sul;2018;10 a 14 anos;367622;548,0078376
Rio Grande do Sul;2018;15 a 19 anos;405174;16774,2399
Rio Grande do Sul;2018;20 a 24 anos;421789;31225,44659
Rio Grande do Sul;2018;25 a 29 anos;422496;33099,47339
Rio Grande do Sul;2018;30 a 34 anos;438303;31771,45439
Rio Grande do Sul;2018;35 a 39 anos;440139;21251,30394
Rio Grande do Sul;2018;40 a 44 anos;388191;4896,070023
Rio Grande do Sul;2018;45 a 49 anos;371636;265,0037901
Rio Grande do Sul;2018;50 a 54 anos;388270;9,000128719
Rio Grande do Sul;2018;55 a 59 anos;377873;1,000014302
Mato Grosso do Sul;2011;10 a 14 anos;106777;529
Mato Grosso do Sul;2011;15 a 19 anos;111081;8933
Mato Grosso do Sul;2011;20 a 24 anos;108725;11499
Mato Grosso do Sul;2011;25 a 29 anos;111278;10338
Mato Grosso do Sul;2011;30 a 34 anos;102084;6816
Mato Grosso do Sul;2011;35 a 39 anos;92839;2790
Mato Grosso do Sul;2011;40 a 44 anos;85194;603
Mato Grosso do Sul;2011;45 a 49 anos;79969;48
Mato Grosso do Sul;2011;50 a 54 anos;67301;8
Mato Grosso do Sul;2011;55 a 59 anos;53108;0
Mato Grosso do Sul;2018;10 a 14 anos;107915;441
Mato Grosso do Sul;2018;15 a 19 anos;107819;7239
Mato Grosso do Sul;2018;20 a 24 anos;111678;11616
Mato Grosso do Sul;2018;25 a 29 anos;112165;10742
Mato Grosso do Sul;2018;30 a 34 anos;112174;8712
Mato Grosso do Sul;2018;35 a 39 anos;108177;4806
Mato Grosso do Sul;2018;40 a 44 anos;95847;992
Mato Grosso do Sul;2018;45 a 49 anos;87510;47
Mato Grosso do Sul;2018;50 a 54 anos;80763;6
Mato Grosso do Sul;2018;55 a 59 anos;71379;0
Mato Grosso;2011;10 a 14 anos;133123;581
Mato Grosso;2011;15 a 19 anos;139487;10372
Mato Grosso;2011;20 a 24 anos;139472;14818
Mato Grosso;2011;25 a 29 anos;139515;13093
Mato Grosso;2011;30 a 34 anos;129344;7807
Mato Grosso;2011;35 a 39 anos;115966;3002
Mato Grosso;2011;40 a 44 anos;103859;585
Mato Grosso;2011;45 a 49 anos;91249;40
Mato Grosso;2011;50 a 54 anos;74260;4
Mato Grosso;2011;55 a 59 anos;56296;1
Mato Grosso;2018;10 a 14 anos;136054;502
Mato Grosso;2018;15 a 19 anos;136351;9182
Mato Grosso;2018;20 a 24 anos;140437;15761
Mato Grosso;2018;25 a 29 anos;143074;14704
Mato Grosso;2018;30 a 34 anos;141074;11154
Mato Grosso;2018;35 a 39 anos;134652;5501
Mato Grosso;2018;40 a 44 anos;120336;1060
Mato Grosso;2018;45 a 49 anos;107332;61
Mato Grosso;2018;50 a 54 anos;94743;5
Mato Grosso;2018;55 a 59 anos;78992;2
Goiás;2011;10 a 14 anos;266975;798,9281041
Goiás;2011;15 a 19 anos;272028;16404,05637
Goiás;2011;20 a 24 anos;274844;25911,10058
Goiás;2011;25 a 29 anos;285422;23630,45118
Goiás;2011;30 a 34 anos;274523;15287,75959
Goiás;2011;35 a 39 anos;246432;6131,122443
Goiás;2011;40 a 44 anos;224836;1294,503808
Goiás;2011;45 a 49 anos;199323;59,06861923
Goiás;2011;50 a 54 anos;164625;8,009304302
Goiás;2011;55 a 59 anos;129587;0
Goiás;2018;10 a 14 anos;258769;591,0059773
Goiás;2018;15 a 19 anos;282743;13994,14153
