UF;Ano;Obitos Obs;Prop Incremento
Roraima;2012;4;0,33
Pará;2012;94;0,16
Amapá;2012;6;0
Tocantins;2012;13;0,44
Maranhão;2012;84;0,01
Piauí;2012;48;0,07
Ceará;2012;88;0,4
Rio Grande do Norte;2012;31;0,55
Paraíba;2012;27;0,04
Pernambuco;2012;73;0,24
Alagoas;2012;24;0,09
Sergipe;2012;24;0,5
Bahia;2012;147;0,39
Minas Gerais;2012;88;0,24
Espírito Santo;2012;34;0,36
Rio de Janeiro;2012;180;0,48
São Paulo;2012;227;0,44
Paraná;2012;59;0,34
Santa Catarina;2012;32;0,07
Rio Grande do Sul;2012;92;0,14
Mato Grosso do Sul;2012;29;0,26
Mato Grosso;2012;30;0,36
Goiás;2012;54;0,1
Distrito Federal;2012;19;0,19
Brasil;2013;1686;0,31
Rondônia;2013;18;-0,05
Acre;2013;10;0,67
Amazonas;2013;50;0,04
Roraima;2013;6;0
Pará;2013;120;0,33
Amapá;2013;14;0
Tocantins;2013;14;0,27
Maranhão;2013;111;0,05
Piauí;2013;44;-0,02
Ceará;2013;93;0,39
Rio Grande do Norte;2013;22;0,16
Paraíba;2013;40;0,33
Pernambuco;2013;91;0,69
Alagoas;2013;31;0,11
Sergipe;2013;23;0,44
Bahia;2013;162;0,33
Minas Gerais;2013;123;0,38
Espírito Santo;2013;26;0,08
Rio de Janeiro;2013;180;0,58
São Paulo;2013;240;0,38
Paraná;2013;65;0,48
Santa Catarina;2013;26;0,24
Rio Grande do Sul;2013;44;0,22
Mato Grosso do Sul;2013;22;0,05
Mato Grosso;2013;38;0,46
Goiás;2013;49;0,23
Distrito Federal;2013;24;0,2
Brasil;2014;1739;0,25
Rondônia;2014;22;0,22
Acre;2014;8;0,6
Amazonas;2014;78;0,07
Roraima;2014;5;0
Pará;2014;117;0,14
Amapá;2014;8;0
Tocantins;2014;15;0,5
Maranhão;2014;93;0,06
Piauí;2014;33;0,06
Ceará;2014;84;0,42
Rio Grande do Norte;2014;36;0,5
Paraíba;2014;31;0,15
Pernambuco;2014;91;0,42
Alagoas;2014;54;0,54
Sergipe;2014;23;0,35
Bahia;2014;149;0,21
Minas Gerais;2014;131;0,39
Espírito Santo;2014;50;0,09
Rio de Janeiro;2014;166;0,33
São Paulo;2014;263;0,28
Paraná;2014;66;0,38
Santa Catarina;2014;24;0,14
Rio Grande do Sul;2014;59;0,11
Mato Grosso do Sul;2014;26;0
Mato Grosso;2014;36;0,57
Goiás;2014;51;0,28
Distrito Federal;2014;20;0,18
Brasil;2015;1738;0,28
Rondônia;2015;14;0,17
Acre;2015;10;0,43
Amazonas;2015;52;0,11
Roraima;2015;11;0,83
Pará;2015;95;0,22
Amapá;2015;13;0
Tocantins;2015;19;0,19
Maranhão;2015;117;0,15
Piauí;2015;41;0,08
Ceará;2015;65;0,67
Rio Grande do Norte;2015;30;0,2
Paraíba;2015;38;0,06
Pernambuco;2015;98;0,48
Alagoas;2015;30;0,3
Sergipe;2015;18;0,5
Bahia;2015;143;0,23
Minas Gerais;2015;125;0,33
Espírito Santo;2015;36;0,16
Rio de Janeiro;2015;159;0,57
São Paulo;2015;311;0,3
Paraná;2015;83;0,34
Santa Catarina;2015;30;0,36
Rio Grande do Sul;2015;53;0,1
Mato Grosso do Sul;2015;31;0,07
Mato Grosso;2015;43;0,23
Goiás;2015;57;0,39
Distrito Federal;2015;16;0,07
Brasil;2016;1670;
Rondônia;2016;15;
Acre;2016;9;
Amazonas;2016;55;
Roraima;2016;6;
Pará;2016;103;
Amapá;2016;17;
Tocantins;2016;18;
Maranhão;2016;110;
Piauí;2016;38;
Ceará;2016;74;
Rio Grande do Norte;2016;31;
Paraíba;2016;49;
Pernambuco;2016;71;
Alagoas;2016;25;
Sergipe;2016;18;
Bahia;2016;122;
Minas Gerais;2016;119;
Espírito Santo;2016;21;
Rio de Janeiro;2016;157;
São Paulo;2016;308;
Paraná;2016;73;
Santa Catarina;2016;29;
Rio Grande do Sul;2016;55;
Mato Grosso do Sul;2016;28;
Mato Grosso;2016;42;
Goiás;2016;53;
Distrito Federal;2016;24;
Brasil;2017;1718;
Rondônia;2017;19;
Acre;2017;8;
Amazonas;2017;50;
Roraima;2017;6;
Pará;2017;129;
Amapá;2017;7;
Tocantins;2017;21;
Maranhão;2017;97;
Piauí;2017;35;
Ceará;2017;84;
Rio Grande do Norte;2017;35;
Paraíba;2017;36;
Pernambuco;2017;84;
Alagoas;2017;16;
Sergipe;2017;17;
Bahia;2017;134;
Minas Gerais;2017;118;
Espírito Santo;2017;33;
Rio de Janeiro;2017;171;
São Paulo;2017;348;
Paraná;2017;50;
Santa Catarina;2017;38;
Rio Grande do Sul;2017;55;
Mato Grosso do Sul;2017;21;
Mato Grosso;2017;34;
Goiás;2017;51;
Distrito Federal;2017;21;
Brasil;2018;1658;
Rondônia;2018;10;
Acre;2018;9;
Amazonas;2018;71;
Roraima;2018;10;
Pará;2018;108;
Amapá;2018;14;
Tocantins;2018;8;
Maranhão;2018;92;
Piauí;2018;42;
Ceará;2018;90;
Rio Grande do Norte;2018;25;
Paraíba;2018;32;
Pernambuco;2018;80;
Alagoas;2018;26;
Sergipe;2018;20;
Bahia;2018;118;
