UF;Ano;Grupos de idade;Mulheres;SINASC
Rio de Janeiro;2000;10 a 14 anos;594437;2147
Rio de Janeiro;2000;15 a 19 anos;659306;51145
Rio de Janeiro;2000;20 a 24 anos;659283;75019
Rio de Janeiro;2000;25 a 29 anos;599408;59633
Rio de Janeiro;2000;30 a 34 anos;584826;39997
Rio de Janeiro;2000;35 a 39 anos;596937;20308
Rio de Janeiro;2000;40 a 44 anos;549839;4885
Rio de Janeiro;2000;45 a 49 anos;473989;251
Rio de Janeiro;2000;50 a 54 anos;386636;10
Rio de Janeiro;2000;55 a 59 anos;296462;1
Rio de Janeiro;2010;10 a 14 anos;642128;1689
Rio de Janeiro;2010;15 a 19 anos;632237;38085
Rio de Janeiro;2010;20 a 24 anos;656053;56431
Rio de Janeiro;2010;25 a 29 anos;699198;55134
Rio de Janeiro;2010;30 a 34 anos;685276;42974
Rio de Janeiro;2010;35 a 39 anos;623979;20988
Rio de Janeiro;2010;40 a 44 anos;599988;5204
Rio de Janeiro;2010;45 a 49 anos;586205;332
Rio de Janeiro;2010;50 a 54 anos;541720;20
Rio de Janeiro;2010;55 a 59 anos;450180;0
São Paulo;2000;10 a 14 anos;1672321;3789
São Paulo;2000;15 a 19 anos;1822191;124738
São Paulo;2000;20 a 24 anos;1777787;194453
São Paulo;2000;25 a 29 anos;1619596;165791
São Paulo;2000;30 a 34 anos;1546067;111930
São Paulo;2000;35 a 39 anos;1491253;52234
São Paulo;2000;40 a 44 anos;1325256;11739
São Paulo;2000;45 a 49 anos;1102352;702
São Paulo;2000;50 a 54 anos;879759;29
São Paulo;2000;55 a 59 anos;666508;1
São Paulo;2010;10 a 14 anos;1637460;3348
São Paulo;2010;15 a 19 anos;1635481;87057
São Paulo;2010;20 a 24 anos;1802155;151537
São Paulo;2010;25 a 29 anos;1908524;160485
São Paulo;2010;30 a 34 anos;1815007;127828
São Paulo;2010;35 a 39 anos;1634719;64426
São Paulo;2010;40 a 44 anos;1535515;15309
São Paulo;2010;45 a 49 anos;1444434;900
São Paulo;2010;50 a 54 anos;1287100;49
São Paulo;2010;55 a 59 anos;1057440;7
Paraná;2000;10 a 14 anos;460622;1551
