UF;Grupos.de.idade;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Sergipe;25 a 29 anos;77594;79540;81659;83951;86403;88978;91674;94531;97291;99549;101067
Sergipe;30 a 34 anos;69805;71254;72611;73978;75506;77294;79291;81466;83813;86322;88956
Sergipe;35 a 39 anos;60518;62585;64474;66204;67827;69382;70861;72247;73645;75205;77020
Sergipe;40 a 44 anos;48234;50364;52774;55329;57808;60075;62162;64068;65815;67453;69028
Sergipe;45 a 49 anos;40227;41609;42924;44277;45838;47698;49823;52221;54760;57222;59473
Sergipe;50 a 54 anos;32395;33649;35017;36458;37903;39317;40699;42016;43370;44928;46778
Sergipe;55 a 59 anos;26145;27017;27959;28972;30059;31216;32462;33820;35247;36678;38084
Tocantins;10 a 14 anos;68462;68442;68464;68535;68667;68865;69116;69401;69749;70167;70642
Tocantins;15 a 19 anos;66037;66868;67332;67520;67573;67598;67616;67675;67784;67953;68189
Tocantins;20 a 24 anos;56526;58646;60726;62654;64274;65489;66333;66813;67014;67083;67118
Tocantins;25 a 29 anos;46626;48347;50304;52429;54601;56731;58815;60858;62741;64316;65484
Tocantins;30 a 34 anos;41535;42651;43613;44549;45662;47073;48735;50632;52694;54800;56860
Tocantins;35 a 39 anos;35135;36424;37784;39157;40454;41630;42685;43585;44460;45508;46850
Tocantins;40 a 44 anos;29068;30175;31293;32431;33604;34817;36076;37403;38743;40004;41147
Tocantins;45 a 49 anos;23268;24257;25286;26346;27432;28535;29655;30784;31932;33116;34339
Tocantins;50 a 54 anos;18239;19026;19863;20744;21661;22612;23601;24629;25687;26767;27865
